NAME                              READY   STATUS    RESTARTS   AGE
api-latest-58d9d65655-7vbmn       1/1     Running   0          10m
auth-latest-6d7cf54788-cqjb9      1/1     Running   0          10m
broker-latest-fd877b768-cmcrb     1/1     Running   0          10m
cart-598b6cdc77-pjr4c             1/1     Running   0          10m
cart-mongo-8c74d75d4-4lfcd        1/1     Running   0          4m9s
config-latest-6c4bd5d5bd-sqqft    1/1     Running   0          10m
events-latest-5fb699c7d4-9njjb    1/1     Running   0          9m9s
network-latest-8db575747-lv96n    1/1     Running   0          7m9s
orders-66fdd7bd8c-fvfbw           1/1     Running   0          10m
orders-mongodb-57778486fd-k728w   1/1     Running   0          10m
products-6d56579fc-9vtbt          1/1     Running   0          10m
products-mongo-6cc7b978c8-hfrft   1/1     Running   0          10m
proxy-latest-6b8fb9ff67-kpnsx     1/1     Running   0          5m9s
purchase-5d97fb9b8c-5w5vf         1/1     Running   0          10m
registry-latest-ffc9b4bd4-fj68x   1/1     Running   0          8m9s
runtime-latest-6bc67fd44b-bp4vf   1/1     Running   0          10m
store-latest-fd59d8888-cttgk      1/1     Running   0          10m
supply-78968f4c84-qlf52           1/1     Running   0          6m9s
ui-7bc6d569b-zltrx                1/1     Running   0          10m
users-596646bb9c-znprm            1/1     Running   0          3m9s
users-postgres-0                  1/1     Running   0          10m
proxy-latest-6b8fb9ff67-kpnsx     1/1     Terminating   0          5m19s
products-6d56579fc-9vtbt          1/1     Terminating   0          10m
ui-7bc6d569b-zltrx                1/1     Terminating   0          10m
orders-mongodb-57778486fd-k728w   1/1     Terminating   0          10m
cart-mongo-8c74d75d4-4lfcd        1/1     Terminating   0          4m19s
purchase-5d97fb9b8c-5w5vf         1/1     Terminating   0          10m
broker-latest-fd877b768-cmcrb     1/1     Terminating   0          10m
cart-598b6cdc77-pjr4c             1/1     Terminating   0          10m
api-latest-58d9d65655-7vbmn       1/1     Terminating   0          10m
auth-latest-6d7cf54788-cqjb9      1/1     Terminating   0          10m
store-latest-fd59d8888-cttgk      1/1     Terminating   0          10m
users-596646bb9c-znprm            1/1     Terminating   0          3m19s
products-mongo-6cc7b978c8-hfrft   1/1     Terminating   0          10m
config-latest-6c4bd5d5bd-sqqft    1/1     Terminating   0          10m
registry-latest-ffc9b4bd4-fj68x   1/1     Terminating   0          8m19s
network-latest-8db575747-lv96n    1/1     Terminating   0          7m19s
supply-78968f4c84-qlf52           1/1     Terminating   0          6m19s
events-latest-5fb699c7d4-9njjb    1/1     Terminating   0          9m19s
users-postgres-0                  1/1     Terminating   0          10m
orders-66fdd7bd8c-fvfbw           1/1     Terminating   0          10m
runtime-latest-6bc67fd44b-bp4vf   1/1     Terminating   0          10m
products-6d56579fc-9vtbt          1/1     Terminating   0          10m
proxy-latest-6b8fb9ff67-kpnsx     1/1     Terminating   0          5m19s
api-latest-58d9d65655-7vbmn       1/1     Terminating   0          10m
cart-598b6cdc77-pjr4c             1/1     Terminating   0          10m
orders-mongodb-57778486fd-k728w   1/1     Terminating   0          10m
cart-mongo-8c74d75d4-4lfcd        1/1     Terminating   0          4m19s
purchase-5d97fb9b8c-5w5vf         1/1     Terminating   0          10m
broker-latest-fd877b768-cmcrb     1/1     Terminating   0          10m
ui-7bc6d569b-zltrx                1/1     Terminating   0          10m
store-latest-fd59d8888-cttgk      1/1     Terminating   0          10m
supply-78968f4c84-qlf52           1/1     Terminating   0          6m19s
orders-66fdd7bd8c-fvfbw           1/1     Terminating   0          10m
products-mongo-6cc7b978c8-hfrft   1/1     Terminating   0          10m
registry-latest-ffc9b4bd4-fj68x   1/1     Terminating   0          8m19s
runtime-latest-6bc67fd44b-bp4vf   1/1     Terminating   0          10m
users-postgres-0                  1/1     Terminating   0          10m
config-latest-6c4bd5d5bd-sqqft    1/1     Terminating   0          10m
users-596646bb9c-znprm            1/1     Terminating   0          3m19s
events-latest-5fb699c7d4-9njjb    1/1     Terminating   0          9m19s
orders-mongodb-57778486fd-59hdd   0/1     Pending       0          0s
network-latest-8db575747-lv96n    1/1     Terminating   0          7m19s
products-6d56579fc-g8nb4          0/1     Pending       0          0s
proxy-latest-6b8fb9ff67-vgrdb     0/1     Pending       0          0s
ui-7bc6d569b-q9dkh                0/1     Pending       0          0s
cart-mongo-8c74d75d4-sp8h9        0/1     Pending       0          0s
auth-latest-6d7cf54788-cqjb9      1/1     Terminating   0          10m
orders-mongodb-57778486fd-59hdd   0/1     Pending       0          0s
products-6d56579fc-g8nb4          0/1     Pending       0          0s
proxy-latest-6b8fb9ff67-vgrdb     0/1     Pending       0          0s
cart-mongo-8c74d75d4-sp8h9        0/1     Pending       0          0s
ui-7bc6d569b-q9dkh                0/1     Pending       0          0s
broker-latest-fd877b768-g9mxj     0/1     Pending       0          0s
purchase-5d97fb9b8c-kplx7         0/1     Pending       0          0s
users-postgres-0                  0/1     Pending       0          0s
api-latest-58d9d65655-nc5sr       0/1     Pending       0          0s
cart-598b6cdc77-rxzkr             0/1     Pending       0          0s
purchase-5d97fb9b8c-kplx7         0/1     Pending       0          0s
users-postgres-0                  0/1     Pending       0          0s
broker-latest-fd877b768-g9mxj     0/1     Pending       0          0s
auth-latest-6d7cf54788-lmkvg      0/1     Pending       0          0s
api-latest-58d9d65655-nc5sr       0/1     Pending       0          0s
cart-598b6cdc77-rxzkr             0/1     Pending       0          0s
auth-latest-6d7cf54788-lmkvg      0/1     Pending       0          0s
